Number;ident;Latitude;Longitude;y_proj;x_proj;comment;Date;ltime
265;265;-7.517388889;-34.96705556;-7.517388889;-34.96705556;;29/06/2021;13:02
266;266;-7.518388889;-34.96575;-7.518388889;-34.96575;;29/06/2021;14:38
267;267;-7.518388889;-34.96577778;-7.518388889;-34.96577778;;10/07/2021;09:50
268;268;-7.518361111;-34.96611111;-7.518361111;-34.96611111;;10/07/2021;10:22
269;269;-7.51825;-34.96627778;-7.51825;-34.96627778;;10/07/2021;10:35
270;270;-7.518361111;-34.96636111;-7.518361111;-34.96636111;;10/07/2021;10:42
271;271;-7.520055556;-34.96647222;-7.520055556;-34.96647222;;10/07/2021;11:01
272;272;-7.520416667;-34.96672222;-7.520416667;-34.96672222;;10/07/2021;11:18
273;273;-7.520194444;-34.96663889;-7.520194444;-34.96663889;;10/07/2021;12:28
274;274;-7.517638889;-34.96711111;-7.517638889;-34.96711111;;10/07/2021;12:38
275;275;-7.518666667;-34.96666667;-7.518666667;-34.96666667;;10/07/2021;12:54
276;276;-7.518444444;-34.96636111;-7.518444444;-34.96636111;;10/07/2021;13:16
277;277;-7.518138889;-34.96630556;-7.518138889;-34.96630556;;10/07/2021;13:28
278;278;-7.518194444;-34.96675;-7.518194444;-34.96675;;10/07/2021;13:35
279;279;-7.519722222;-34.96558333;-7.519722222;-34.96558333;;10/07/2021;13:42
280;280;-7.517861111;-34.96688889;-7.517861111;-34.96688889;;10/07/2021;14:12
281;281;-7.517861111;-34.96688889;-7.517861111;-34.96688889;;13/07/2021;09:48
282;282;-7.517638889;-34.96697222;-7.517638889;-34.96697222;;13/07/2021;10:08
283;283;-7.517666667;-34.96722222;-7.517666667;-34.96722222;;13/07/2021;10:35
284;284;-7.517722222;-34.96744444;-7.517722222;-34.96744444;;13/07/2021;10:38
285;285;-7.51775;-34.96780556;-7.51775;-34.96780556;;13/07/2021;10:53
286;286;-7.517722222;-34.96805556;-7.517722222;-34.96805556;;13/07/2021;11:00
287;287;-7.516472222;-34.96838889;-7.516472222;-34.96838889;;13/07/2021;11:15
288;288;-7.516388889;-34.96794444;-7.516388889;-34.96794444;;13/07/2021;11:29
289;289;-7.517888889;-34.96683333;-7.517888889;-34.96683333;;13/07/2021;12:49
290;290;-7.522305556;-34.96544444;-7.522305556;-34.96544444;;13/07/2021;13:35
291;291;-7.522472222;-34.96222222;-7.522472222;-34.96222222;;13/07/2021;13:50
292;292;-7.529833333;-34.96155556;-7.529833333;-34.96155556;;13/07/2021;13:55
293;293;-7.5265;-34.96408333;-7.5265;-34.96408333;;13/07/2021;14:05
294;294;-7.526861111;-34.96297222;-7.526861111;-34.96297222;;15/07/2021;10:21
295;295;-7.521722222;-34.96483333;-7.521722222;-34.96483333;;15/07/2021;10:54
296;296;-7.520805556;-34.96327778;-7.520805556;-34.96327778;;15/07/2021;10:56
297;297;;;;;;15/07/2021;11:07
298;298;;;;;;15/07/2021;11:13
299;299;;;;;;15/07/2021;11:31
;;;;;;;15/07/2021;11:44
;;;;;;;15/07/2021;11:54
;;;;;;;15/07/2021;12:42
;;;;;;;15/07/2021;12:55
;;;;;;;15/07/2021;13:44
;;;;;;;15/07/2021;14:22
;;;;;;;25/09/2021;11:33
;;;;;;;30/09/2021;07:18
;;;;;;;16/10/2021;13:13
;;;;;;;17/10/2021;13:27
;;;;;;;02/11/2021;08:12
;;;;;;;08/11/2021;09:03
